Sample in Buffer,Sample in Window,TRIGGER,g_ila.ila_wrapper_1/data_out_12b_0[0][11:0],g_ila.ila_wrapper_1/data_out_12b_0[1][11:0],g_ila.ila_wrapper_1/data_out_12b_1[0][11:0],g_ila.ila_wrapper_1/data_out_12b_1[1][11:0],g_ila.ila_wrapper_1/data_out_12b_2[0][11:0],g_ila.ila_wrapper_1/data_out_12b_2[1][11:0],g_ila.ila_wrapper_1/data_out_12b_3[0][11:0],g_ila.ila_wrapper_1/data_out_12b_3[1][11:0],g_ila.ila_wrapper_1/data_out_12b_4[0][11:0],g_ila.ila_wrapper_1/data_out_12b_4[1][11:0],g_ila.ila_wrapper_1/data_out_12b_5[0][11:0],g_ila.ila_wrapper_1/data_out_12b_5[1][11:0],g_ila.ila_wrapper_1/data_out_12b_6[0][11:0],g_ila.ila_wrapper_1/data_out_12b_6[1][11:0],g_ila.ila_wrapper_1/data_out_12b_7[0][11:0],g_ila.ila_wrapper_1/data_out_12b_7[1][11:0],g_ila.ila_wrapper_1/rx_sync
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,468,46a,469,46b,468,46a,469,46b,468,46a,469,46b,468,46a,469,46b,0
1,1,0,46c,46e,46d,46f,46c,46e,46d,46f,46c,46e,46d,46f,46c,46e,46d,46f,0
2,2,0,470,472,471,473,470,472,471,473,470,472,471,473,470,472,471,473,0
3,3,0,474,476,475,477,474,476,475,477,474,476,475,477,474,476,475,477,0
4,4,0,478,47a,479,47b,478,47a,479,47b,478,47a,479,47b,478,47a,479,47b,0
5,5,0,47c,47e,47d,47f,47c,47e,47d,47f,47c,47e,47d,47f,47c,47e,47d,47f,0
6,6,0,480,482,481,483,480,482,481,483,480,482,481,483,480,482,481,483,0
7,7,0,484,486,485,487,484,486,485,487,484,486,485,487,484,486,485,487,0
8,8,0,488,48a,489,48b,488,48a,489,48b,488,48a,489,48b,488,48a,489,48b,0
9,9,0,48c,48e,48d,48f,48c,48e,48d,48f,48c,48e,48d,48f,48c,48e,48d,48f,0
10,10,0,490,492,491,493,490,492,491,493,490,492,491,493,490,492,491,493,0
11,11,0,494,496,495,497,494,496,495,497,494,496,495,497,494,496,495,497,0
12,12,0,498,49a,499,49b,498,49a,499,49b,498,49a,499,49b,498,49a,499,49b,0
13,13,0,49c,49e,49d,49f,49c,49e,49d,49f,49c,49e,49d,49f,49c,49e,49d,49f,0
14,14,0,4a0,4a2,4a1,4a3,4a0,4a2,4a1,4a3,4a0,4a2,4a1,4a3,4a0,4a2,4a1,4a3,0
