Sample in Buffer,Sample in Window,TRIGGER,g_ila.ila_wrapper_1/data_out_12b_0[0][11:0],g_ila.ila_wrapper_1/data_out_12b_0[1][11:0],g_ila.ila_wrapper_1/data_out_12b_0[2][11:0],g_ila.ila_wrapper_1/data_out_12b_0[3][11:0],g_ila.ila_wrapper_1/data_out_12b_1[0][11:0],g_ila.ila_wrapper_1/data_out_12b_1[1][11:0],g_ila.ila_wrapper_1/data_out_12b_1[2][11:0],g_ila.ila_wrapper_1/data_out_12b_1[3][11:0],g_ila.ila_wrapper_1/data_out_12b_2[0][11:0],g_ila.ila_wrapper_1/data_out_12b_2[1][11:0],g_ila.ila_wrapper_1/data_out_12b_2[2][11:0],g_ila.ila_wrapper_1/data_out_12b_2[3][11:0],g_ila.ila_wrapper_1/data_out_12b_3[0][11:0],g_ila.ila_wrapper_1/data_out_12b_3[1][11:0],g_ila.ila_wrapper_1/data_out_12b_3[2][11:0],g_ila.ila_wrapper_1/data_out_12b_3[3][11:0],g_ila.ila_wrapper_1/data_out_12b_4[0][11:0],g_ila.ila_wrapper_1/data_out_12b_4[1][11:0],g_ila.ila_wrapper_1/data_out_12b_4[2][11:0],g_ila.ila_wrapper_1/data_out_12b_4[3][11:0],g_ila.ila_wrapper_1/data_out_12b_5[0][11:0],g_ila.ila_wrapper_1/data_out_12b_5[1][11:0],g_ila.ila_wrapper_1/data_out_12b_5[2][11:0],g_ila.ila_wrapper_1/data_out_12b_5[3][11:0],g_ila.ila_wrapper_1/data_out_12b_6[0][11:0],g_ila.ila_wrapper_1/data_out_12b_6[1][11:0],g_ila.ila_wrapper_1/data_out_12b_6[2][11:0],g_ila.ila_wrapper_1/data_out_12b_6[3][11:0],g_ila.ila_wrapper_1/data_out_12b_7[0][11:0],g_ila.ila_wrapper_1/data_out_12b_7[1][11:0],g_ila.ila_wrapper_1/data_out_12b_7[2][11:0],g_ila.ila_wrapper_1/data_out_12b_7[3][11:0],g_ila.ila_wrapper_1/rx_sync
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,b90,b92,b94,b96,b91,b93,b95,b97,b90,b92,b94,b96,b91,b93,b95,b97,b90,b92,b94,b96,b91,b93,b95,b97,b90,b92,b94,b96,b91,b93,b95,b97,0
1,1,0,b98,b9a,b9c,b9e,b99,b9b,b9d,b9f,b98,b9a,b9c,b9e,b99,b9b,b9d,b9f,b98,b9a,b9c,b9e,b99,b9b,b9d,b9f,b98,b9a,b9c,b9e,b99,b9b,b9d,b9f,0
2,2,0,ba0,ba2,ba4,ba6,ba1,ba3,ba5,ba7,ba0,ba2,ba4,ba6,ba1,ba3,ba5,ba7,ba0,ba2,ba4,ba6,ba1,ba3,ba5,ba7,ba0,ba2,ba4,ba6,ba1,ba3,ba5,ba7,0
3,3,0,ba8,baa,bac,bae,ba9,bab,bad,baf,ba8,baa,bac,bae,ba9,bab,bad,baf,ba8,baa,bac,bae,ba9,bab,bad,baf,ba8,baa,bac,bae,ba9,bab,bad,baf,0
4,4,0,bb0,bb2,bb4,bb6,bb1,bb3,bb5,bb7,bb0,bb2,bb4,bb6,bb1,bb3,bb5,bb7,bb0,bb2,bb4,bb6,bb1,bb3,bb5,bb7,bb0,bb2,bb4,bb6,bb1,bb3,bb5,bb7,0
5,5,0,bb8,bba,bbc,bbe,bb9,bbb,bbd,bbf,bb8,bba,bbc,bbe,bb9,bbb,bbd,bbf,bb8,bba,bbc,bbe,bb9,bbb,bbd,bbf,bb8,bba,bbc,bbe,bb9,bbb,bbd,bbf,0
6,6,0,bc0,bc2,bc4,bc6,bc1,bc3,bc5,bc7,bc0,bc2,bc4,bc6,bc1,bc3,bc5,bc7,bc0,bc2,bc4,bc6,bc1,bc3,bc5,bc7,bc0,bc2,bc4,bc6,bc1,bc3,bc5,bc7,0
7,7,0,bc8,bca,bcc,bce,bc9,bcb,bcd,bcf,bc8,bca,bcc,bce,bc9,bcb,bcd,bcf,bc8,bca,bcc,bce,bc9,bcb,bcd,bcf,bc8,bca,bcc,bce,bc9,bcb,bcd,bcf,0
8,8,0,bd0,bd2,bd4,bd6,bd1,bd3,bd5,bd7,bd0,bd2,bd4,bd6,bd1,bd3,bd5,bd7,bd0,bd2,bd4,bd6,bd1,bd3,bd5,bd7,bd0,bd2,bd4,bd6,bd1,bd3,bd5,bd7,0
9,9,0,bd8,bda,bdc,bde,bd9,bdb,bdd,bdf,bd8,bda,bdc,bde,bd9,bdb,bdd,bdf,bd8,bda,bdc,bde,bd9,bdb,bdd,bdf,bd8,bda,bdc,bde,bd9,bdb,bdd,bdf,0
10,10,0,be0,be2,be4,be6,be1,be3,be5,be7,be0,be2,be4,be6,be1,be3,be5,be7,be0,be2,be4,be6,be1,be3,be5,be7,be0,be2,be4,be6,be1,be3,be5,be7,0
11,11,0,be8,bea,bec,bee,be9,beb,bed,bef,be8,bea,bec,bee,be9,beb,bed,bef,be8,bea,bec,bee,be9,beb,bed,bef,be8,bea,bec,bee,be9,beb,bed,bef,0
12,12,0,bf0,bf2,bf4,bf6,bf1,bf3,bf5,bf7,bf0,bf2,bf4,bf6,bf1,bf3,bf5,bf7,bf0,bf2,bf4,bf6,bf1,bf3,bf5,bf7,bf0,bf2,bf4,bf6,bf1,bf3,bf5,bf7,0
13,13,0,bf8,bfa,bfc,bfe,bf9,bfb,bfd,bff,bf8,bfa,bfc,bfe,bf9,bfb,bfd,bff,bf8,bfa,bfc,bfe,bf9,bfb,bfd,bff,bf8,bfa,bfc,bfe,bf9,bfb,bfd,bff,0
14,14,0,c00,c02,c04,c06,c01,c03,c05,c07,c00,c02,c04,c06,c01,c03,c05,c07,c00,c02,c04,c06,c01,c03,c05,c07,c00,c02,c04,c06,c01,c03,c05,c07,0
15,15,0,c08,c0a,c0c,c0e,c09,c0b,c0d,c0f,c08,c0a,c0c,c0e,c09,c0b,c0d,c0f,c08,c0a,c0c,c0e,c09,c0b,c0d,c0f,c08,c0a,c0c,c0e,c09,c0b,c0d,c0f,0
16,16,0,c10,c12,c14,c16,c11,c13,c15,c17,c10,c12,c14,c16,c11,c13,c15,c17,c10,c12,c14,c16,c11,c13,c15,c17,c10,c12,c14,c16,c11,c13,c15,c17,0
17,17,0,c18,c1a,c1c,c1e,c19,c1b,c1d,c1f,c18,c1a,c1c,c1e,c19,c1b,c1d,c1f,c18,c1a,c1c,c1e,c19,c1b,c1d,c1f,c18,c1a,c1c,c1e,c19,c1b,c1d,c1f,0
18,18,0,c20,c22,c24,c26,c21,c23,c25,c27,c20,c22,c24,c26,c21,c23,c25,c27,c20,c22,c24,c26,c21,c23,c25,c27,c20,c22,c24,c26,c21,c23,c25,c27,0
19,19,0,c28,c2a,c2c,c2e,c29,c2b,c2d,c2f,c28,c2a,c2c,c2e,c29,c2b,c2d,c2f,c28,c2a,c2c,c2e,c29,c2b,c2d,c2f,c28,c2a,c2c,c2e,c29,c2b,c2d,c2f,0
20,20,0,c30,c32,c34,c36,c31,c33,c35,c37,c30,c32,c34,c36,c31,c33,c35,c37,c30,c32,c34,c36,c31,c33,c35,c37,c30,c32,c34,c36,c31,c33,c35,c37,0
21,21,0,c38,c3a,c3c,c3e,c39,c3b,c3d,c3f,c38,c3a,c3c,c3e,c39,c3b,c3d,c3f,c38,c3a,c3c,c3e,c39,c3b,c3d,c3f,c38,c3a,c3c,c3e,c39,c3b,c3d,c3f,0
22,22,0,c40,c42,c44,c46,c41,c43,c45,c47,c40,c42,c44,c46,c41,c43,c45,c47,c40,c42,c44,c46,c41,c43,c45,c47,c40,c42,c44,c46,c41,c43,c45,c47,0
23,23,0,c48,c4a,c4c,c4e,c49,c4b,c4d,c4f,c48,c4a,c4c,c4e,c49,c4b,c4d,c4f,c48,c4a,c4c,c4e,c49,c4b,c4d,c4f,c48,c4a,c4c,c4e,c49,c4b,c4d,c4f,0
